2018-07-24 05:03:15,b'RT @MatrimonyKpj: Search your perfect life-partner from millions of verified profiles. \n#nadar #vanniyar #Vishwakarma #Naidu #Thevar #Yadav\xe2\x80\xa6'
2018-07-24 05:02:55,b'Search your perfect life-partner from millions of verified profiles. \n#nadar #vanniyar #Vishwakarma #Naidu #Thevar\xe2\x80\xa6 https://t.co/WLxsBkmTXY'
2018-07-24 05:02:37,"b'PM #Modi is the first and only Prime Minister to have visited #Rwanda and many other places. Why Indira Gandhi, Lal\xe2\x80\xa6 https://t.co/F7x83KU2Fs'"
2018-07-24 04:58:13,b'RT @DrMerajj: I congratulate #Modi to be come the first prime minister of India in whose rule animals became more important than human!! #S\xe2\x80\xa6'
2018-07-24 04:57:02,b'RT @OhM02: Since 2014 The increased number of Mob lynching show that it could be a proposed or propaganda of those people\xe2\x80\x99s who are afraid\xe2\x80\xa6'
2018-07-24 04:56:58,b'RT @samirsaran: My latest for the @wef on the @PMOIndia \xe2\x80\x98s speech at #Shangrila and what we must attempt to do soon. \n\n#IndoPacific #Modi #\xe2\x80\xa6'
2018-07-24 04:56:50,"b""RT @DrGarekar: touching PM's chair was part of Black Magic.....so that good health of #Modi deteriorates in no time https://t.co/vgTKaj5GKR"""
2018-07-24 04:56:38,"b'RT @ashokeraj007: What @SanjayAzadSln said during all party meet Infront of PM #Modi is here, https://t.co/PPYkVSqnxC'"
2018-07-24 04:55:45,b'RT @rachitsharma0: @tavleen_singh #India existed before #Modi and will fly high post his tenure. INDIA is bigger than any individual. And t\xe2\x80\xa6'
2018-07-24 04:55:39,b'RT @drshamamohd: A WhatsApp group admin has been in jail for 5 months in MP after a group member posted an objectionable msg. \n\nOn the othe\xe2\x80\xa6'
2018-07-24 04:54:05,b'RT @krirtna: @DrMadanMohanJha @RahulGandhi The #Modi govt is busy spending thousands of crores of our tax money in ADs to prove otherwise.\xe2\x80\xa6'
2018-07-24 04:51:10,b'#Modi is the 1st PM to visit Rwanda. \nModiji will be the 1st PM to have a cloud named after him.'
2018-07-24 04:50:58,b'@Twitter you took away my 2000 followers you can take rest also .....Drunken Thoughts would wait till .....to see y\xe2\x80\xa6 https://t.co/fA7xOUiWP3'
2018-07-24 04:50:32,b'RT @indian_politics: He will become the first to visit the moon as well! #Rwanda #Modi https://t.co/JpRuIO1Ix6'
